what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336417957827
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336417962003
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336417962605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336417965593
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336417967940
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336417977771
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336417978046
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336418040175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336418060790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336418318658
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336418320875
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336418438308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336418443146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336419867316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336420021765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336420230343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336420238906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336420242136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336420260211
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336423786327
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336423830341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336423904246
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336423910284
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336423913904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336424119204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336424124662
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336424333261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336424347580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336424355806
